Study ,TE,cr,dfr,picture,gender
Brewer,0.1,0.6,0.63,0.92,0.62
Brewer,0,0.77,0.8,0.95,0.35
Brewer,0,0.77,0.58,0.92,0.6
Brewer,0,0.47,0.8,0.95,0.78
Brewer,0.03,0.63,0.92,0.84,0.67
Brewer,0.25,0.87,0.83,0.92,0.78
Brewer,0,0.83,0.65,0.95,0.92
Brewer,0.05,0.87,0.74,0.9,0.72
Brewer,-0.15,1,0.83,0.95,0.87
Brewer,0.05,0.93,0.83,0.92,0.68
Brewer,0.05,0.77,0.62,0.84,0.67
Brewer,0.2,0.77,0.78,0.83,0.58
Brewer,0,0.8,0.45,0.88,0.78
Brewer,0.05,0.6,0.6,0.87,0.7
Brewer,-0.05,0.93,0.82,0.93,0.82
Brewer,0,0.93,0.75,0.9,0.9
Brewer,0.2,0.7,0.82,0.77,0.75
Brewer,-0.2,0.7,0.9,0.98,0.9
Brewer,-0.2,0.6,0.88,0.9,0.63
Brewer,0.05,0.73,0.48,0.95,0.63
Brewer,0.15,0.47,0.72,0.87,0.8
Pan1,0.481578947,0.233333333,0.266666667,0.666666667,0.783333333
Pan1,0.181578947,0.133333333,0.233333333,0.566666667,0.833333333
Pan1,0.134210526,0.9,0.483333333,0.716666667,0.85
Pan1,0.192105263,0.366666667,0.316666667,0.583333333,0.8
Pan1,-0.021052632,0.333333333,0.333333333,0.6,0.916666667
Pan1,-0.036842105,0.433333333,0.366666667,0.466666667,0.933333333
Pan1,0.186842105,0.666666667,0.45,0.65,0.583333333
Pan1,0.292105263,0.633333333,0.15,0.516666667,0.683333333
Pan1,0.444736842,0.3,0.333333333,0.75,0.816666667
Pan1,0.084210526,0.366666667,0.45,0.75,0.883333333
Pan1,0.131578947,0.366666667,0.316666667,0.883333333,0.783333333
Pan1,0.176315789,0.266666667,0.25,0.8,0.75
Pan1,0.044736842,0.3,0.45,0.716666667,0.783333333
Pan1,0.044736842,0.166666667,0.366666667,0.55,0.75
Pan1,0.057894737,0.1,0.316666667,0.683333333,0.716666667
Pan1,0.089473684,0.166666667,0.483333333,0.666666667,0.716666667
Pan1,0.081578947,0.433333333,0.366666667,0.566666667,0.783333333
Pan1,0.281578947,0.466666667,0.4,0.6,0.816666667
Pan1,0.278947368,0.2,0.35,0.6,0.716666667
Pan1,-0.086842105,0.833333333,0.4,0.433333333,0.95
Pan1,0.265789474,0.266666667,0.283333333,0.8,0.633333333
Pan1,0.376315789,0.266666667,0.316666667,0.633333333,0.65
Pan1,0.481578947,0.7,0.5,0.833333333,0.9
Pan1,0.381578947,0.533333333,0.45,0.55,0.75
Pan1,0.228947368,0.6,0.433333333,0.833333333,0.816666667
Pan1,0.071052632,0.6,0.45,0.683333333,0.766666667
Pan1,0.092105263,0.4,0.266666667,0.633333333,0.783333333
Pan1,0.281578947,0.466666667,0.216666667,0.6,0.766666667
Pan1,0.142105263,0.233333333,0.266666667,0.6,0.833333333
Pan1,0.273684211,0.433333333,0.183333333,0.766666667,0.883333333
Pan1,0.139473684,0.166666667,0.433333333,0.533333333,0.916666667
Pan1,-0.055263158,0.733333333,0.45,0.483333333,0.766666667
Pan1,0.273684211,0.633333333,0.366666667,0.366666667,0.766666667
Pan1,0.534210526,0.366666667,0.3,0.65,0.816666667
Pan1,-0.007894737,0.233333333,0.416666667,0.483333333,0.85
Pan1,0.268421053,0.366666667,0.233333333,0.683333333,0.716666667
Pan1,0.218421053,0.033333333,0.166666667,0.716666667,0.8
Pan1,-0.057894737,0.266666667,0.35,0.583333333,0.733333333
Pan1,0.165789474,0.266666667,0.25,0.766666667,0.666666667
Pan1,-0.026315789,0.633333333,0.75,0.483333333,0.683333333
Pan1,0.181578947,0.366666667,0.166666667,0.533333333,0.9
Pan1,-0.013157895,0.4,0.3,0.783333333,0.766666667
Pan1,0.271052632,0.233333333,0.2,0.816666667,0.816666667
Pan1,0.055263158,0.233333333,0.416666667,0.583333333,0.866666667
Pan1,0.297368421,0.266666667,0.4,0.616666667,0.85
Pan1,-0.076315789,0.333333333,0.516666667,0.716666667,0.866666667
Pan1,0.002631579,0.133333333,0.716666667,0.583333333,0.733333333
Pan1,0.434210526,0.233333333,0.283333333,0.4,0.65
Pan1,0.339473684,0.666666667,0.316666667,0.8,0.883333333
Pan1,0.539473684,0.2,0.533333333,0.616666667,0.866666667
Pan1,0.142105263,0.233333333,0.283333333,0.633333333,0.733333333
Pan1,0.042105263,0.2,0.233333333,0.5,0.8
Pan1,-0.094736842,0.133333333,0.15,0.133333333,0.483333333
Pan1,0.444736842,0.4,0.333333333,0.583333333,0.833333333
Pan1,0.247368421,0.433333333,0.25,0.6,0.9
Pan1,0.021052632,0.7,0.7,0.65,0.833333333
Pan1,0.286842105,0.233333333,0.266666667,0.616666667,0.85
Pan1,0.181578947,0.466666667,0.483333333,0.733333333,0.85
Pan1,0.186842105,0.2,0.25,0.55,0.8
Pan1,0.228947368,0.3,0.233333333,0.633333333,0.866666667
Pan1,0.134210526,0.133333333,0.35,0.616666667,0.783333333
Pan1,0.236842105,0.266666667,0.35,0.633333333,0.85
Pan1,0.284210526,0.5,0.4,0.85,0.883333333
Pan1,0.026315789,0.4,0.4,0.716666667,0.75
Pan1,0.060526316,0.466666667,0.6,0.616666667,0.916666667
Pan1,0.007894737,0.3,0.283333333,0.566666667,0.916666667
Pan1,0.268421053,0.533333333,0.35,0.716666667,0.733333333
Pan1,0.323684211,0.566666667,0.266666667,0.7,0.766666667
Pan1,0.215789474,0.3,0.416666667,0.716666667,0.8
Pan1,0.278947368,0.833333333,0.45,0.75,0.766666667
Pan1,0.084210526,0.2,0.316666667,0.55,0.8
Pan1,0.436842105,0.666666667,0.516666667,0.783333333,0.9
Pan1,0.165789474,0.433333333,0.533333333,0.683333333,0.916666667
Pan1,-0.134210526,0.2,0.383333333,0.6,0.633333333
Pan1,0.381578947,0.2,0.416666667,0.566666667,0.766666667
Pan1,-0.065789474,0.1,0.35,0.683333333,0.733333333
Pan1,0.094736842,0.1,0.383333333,0.633333333,0.733333333
Pan1,0.447368421,0.2,0.3,0.666666667,0.716666667
Pan1,0.431578947,0.4,0.183333333,0.6,0.766666667
Pan1,0.426315789,0.033333333,0.433333333,0.266666667,0.883333333
Pan1,0.171052632,0.233333333,0.266666667,0.633333333,0.833333333
Pan1,-0.244736842,0.433333333,0.433333333,0.633333333,0.833333333
Pan1,0.094736842,0.366666667,0.25,0.716666667,0.716666667
Pan1,0.194736842,0.266666667,0.283333333,0.733333333,0.883333333
Pan1,0.121052632,0.166666667,0.633333333,0.6,1
Pan1,-0.228947368,0.166666667,0.6,0.633333333,0.816666667
Pan1,-0.1,0.133333333,0.133333333,0.4,0.566666667
Pan1,0.334210526,0.166666667,0.233333333,0.733333333,0.8
Pan1,0.489473684,0.166666667,0.4,0.733333333,0.883333333
Pan1,0.3,0.166666667,0.1,0.45,0.666666667
Pan1,0.134210526,0.133333333,0.283333333,0.416666667,0.75
Pan1,0.236842105,0.266666667,0.283333333,0.566666667,0.9
Pan1,0.218421053,0.3,0.2,0.566666667,0.766666667
Pan1,0.292105263,0.033333333,0.183333333,0.466666667,0.516666667
Pan1,0.278947368,0.533333333,0.683333333,0.666666667,0.7
Pan1,0.163157895,0.166666667,0.383333333,0.566666667,0.866666667
Pan1,0.139473684,0.366666667,0.5,0.716666667,0.8
Pan1,0.226315789,0.4,0.416666667,0.716666667,0.95
Pan1,0.031578947,0.366666667,0.3,0.5,0.6
Pan1,0.055263158,0.266666667,0.216666667,0.5,0.75
Pan1,0.281578947,0.466666667,0.666666667,0.65,0.766666667
Pan1,0.055263158,0.2,0.1,0.466666667,0.633333333
Pan1,0.581578947,0.433333333,0.5,0.816666667,0.95
Pan1,0.1,0.7,0.716666667,0.683333333,0.966666667
Pan1,0.376315789,0.066666667,0.183333333,0.733333333,0.766666667
Pan1,0.336842105,0.433333333,0.5,0.583333333,0.716666667
Pan1,0.121052632,0.333333333,0.366666667,0.7,0.683333333
Pan1,-0.068421053,0.2,0.15,0.65,0.716666667
Pan1,0.384210526,0.9,0.716666667,0.733333333,0.75
Pan1,0.163157895,0.1,0.3,0.55,0.616666667
Pan1,0.428947368,0.633333333,0.433333333,0.75,0.95
Pan1,-0.057894737,0.166666667,0.3,0.65,0.766666667
Pan1,0.002631579,0.633333333,0.166666667,0.766666667,0.9
Pan1,0.215789474,0.4,0.4,0.716666667,0.816666667
Pan1,-0.094736842,0.066666667,0.283333333,0.666666667,0.816666667
Pan1,0.236842105,0.433333333,0.366666667,0.733333333,0.883333333
Pan1,0.076315789,0.133333333,0.433333333,0.7,0.783333333
Pan1,0.047368421,0.066666667,0.183333333,0.833333333,0.866666667
Pan1,-0.436842105,0.2,0.533333333,0.633333333,0.766666667
Pan1,0.042105263,0.133333333,0.4,0.566666667,0.716666667
Pan2,0.068421053,0.366666667,0.35,0.666666667,0.616666667
Pan2,-0.028947368,0.566666667,0.4,0.733333333,0.683333333
Pan2,0.378947368,0.333333333,0.35,0.716666667,0.816666667
Pan2,0.276315789,0.3,0.35,0.516666667,0.633333333
Pan2,0.381578947,0.5,0.266666667,0.616666667,0.583333333
Pan2,0.092105263,0.1,0.116666667,0.55,0.683333333
Pan2,0.323684211,0.466666667,0.45,0.55,0.7
Pan2,0.126315789,0.333333333,0.4,0.5,0.733333333
Pan2,0.431578947,0.866666667,0.35,0.966666667,0.783333333
Pan2,0.228947368,0.5,0.333333333,0.75,0.85
Pan2,0.228947368,0.533333333,0.333333333,0.733333333,0.65
Pan2,0.136842105,0.566666667,0.266666667,0.8,0.75
Pan2,0.489473684,0.3,0.316666667,0.75,0.9
Pan2,0.326315789,0.533333333,0.583333333,0.783333333,0.933333333
Pan2,0.284210526,0.6,0.216666667,0.766666667,0.616666667
Pan2,0.136842105,0.5,0.25,0.783333333,0.833333333
Pan2,0.063157895,0.433333333,0.35,0.8,0.716666667
Pan2,0.115789474,0.1,0.266666667,0.516666667,0.55
Pan2,0.113157895,0.4,0.45,0.616666667,0.75
Pan2,0.171052632,0.466666667,0.533333333,0.566666667,0.85
Pan2,-0.042105263,0.366666667,0.333333333,0.816666667,0.733333333
Pan2,0.378947368,0.466666667,0.433333333,0.533333333,0.766666667
Pan2,0.142105263,0.166666667,0.35,0.733333333,0.816666667
Pan2,0.139473684,0.6,0.166666667,0.883333333,0.733333333
Pan2,0.386842105,0.233333333,0.233333333,0.766666667,0.783333333
Pan2,0.023684211,0.266666667,0.433333333,0.683333333,0.683333333
Pan2,0.218421053,0.6,0.433333333,0.6,0.85
Pan2,0.289473684,0.466666667,0.4,0.6,0.616666667
Pan2,-0.042105263,0.266666667,0.483333333,0.55,0.683333333
Pan2,0.231578947,0.7,0.466666667,0.8,0.666666667
Pan2,0.381578947,0.333333333,0.25,0.65,0.816666667
Pan2,0.589473684,0.5,0.25,0.7,0.766666667
Pan2,0.273684211,0.3,0.316666667,0.566666667,0.766666667
Pan2,0.328947368,0.5,0.333333333,0.616666667,0.633333333
Pan2,0.228947368,0.333333333,0.466666667,0.783333333,0.733333333
Pan2,0.281578947,0.533333333,0.4,0.6,0.666666667
Pan2,0.121052632,0.533333333,0.466666667,0.783333333,0.733333333
Pan2,0.378947368,0.466666667,0.3,0.65,0.716666667
Pan2,0.221052632,0.266666667,0.35,0.716666667,0.566666667
Pan2,0.107894737,0,0.283333333,0.766666667,0.666666667
Pan2,0.371052632,0.433333333,0.2,0.433333333,0.633333333
Pan2,0.331578947,0.266666667,0.416666667,0.533333333,0.633333333
Pan2,0.013157895,0.166666667,0.316666667,0.616666667,0.833333333
Pan2,0.176315789,0.333333333,0.45,0.416666667,0.65
Pan2,0.173684211,0.5,0.433333333,0.75,0.983333333
Pan2,0.178947368,0.266666667,0.233333333,0.566666667,0.683333333
Pan2,0.094736842,0.133333333,0.25,0.65,0.666666667
Pan2,0.378947368,0.733333333,0.45,0.8,0.816666667
Pan2,0.376315789,0.233333333,0.25,0.7,0.633333333
Pan2,0.428947368,0.7,0.6,0.566666667,0.783333333
Pan2,0.436842105,0.666666667,0.416666667,0.766666667,0.75
Pan2,0.213157895,0.166666667,0.3,0.65,0.566666667
Pan2,0.286842105,0.1,0.233333333,0.6,0.716666667
Pan2,0.331578947,0.1,0.35,0.616666667,0.783333333
Pan2,-0.113157895,0.166666667,0.316666667,0.45,0.6
Pan2,-0.239473684,0.266666667,0.316666667,0.75,0.783333333
Pan2,0.284210526,0.633333333,0.5,0.666666667,0.866666667
Pan2,0.286842105,0.133333333,0.266666667,0.533333333,0.683333333
Pan2,0.163157895,0.766666667,0.433333333,0.583333333,0.866666667
Pan2,0.323684211,0.133333333,0.183333333,0.533333333,0.733333333
Pan2,0.184210526,0.233333333,0.25,0.616666667,0.683333333
Pan2,0.181578947,0.733333333,0.483333333,0.75,0.7
Pan2,0.126315789,0.666666667,0.45,0.866666667,0.9
Pan2,0.273684211,0.033333333,0.266666667,0.55,0.683333333
Pan2,0.236842105,0.5,0.366666667,0.8,0.6
Pan2,0.226315789,0.266666667,0.483333333,0.833333333,0.85
Pan2,0.163157895,0.6,0.216666667,0.7,0.75
Pan2,-0.034210526,0.166666667,0.366666667,0.7,0.716666667
Pan2,0.271052632,0.466666667,0.466666667,0.4,0.666666667
Pan2,0.381578947,0.266666667,0.266666667,0.8,0.8
Pan2,-0.068421053,0.333333333,0.466666667,0.766666667,0.666666667
Pan2,0.071052632,0.666666667,0.4,0.716666667,0.616666667
Pan2,0.181578947,0.233333333,0.3,0.7,0.833333333
Pan2,0.039473684,0.333333333,0.4,0.766666667,0.716666667
Pan2,0.342105263,0.7,0.683333333,0.7,0.9
Pan2,0.063157895,0.266666667,0.183333333,0.566666667,0.616666667
Pan2,0.336842105,0.333333333,0.316666667,0.683333333,0.783333333
Pan2,0.242105263,0.233333333,0.416666667,0.583333333,0.733333333
Pan2,0.381578947,0.3,0.25,0.383333333,0.8
Pan2,-0.055263158,0.133333333,0.366666667,0.733333333,0.7
Pan2,-0.023684211,0.466666667,0.433333333,0.683333333,0.933333333
Pan2,0.071052632,0.2,0.433333333,0.783333333,0.733333333
Pan2,-0.073684211,0.533333333,0.45,0.583333333,0.85
Pan2,-0.005263158,0.233333333,0.4,0.666666667,0.716666667
Pan2,0.218421053,0.533333333,0.483333333,0.783333333,0.733333333
Pan2,0.089473684,0.233333333,0.266666667,0.566666667,0.583333333
Pan2,0.118421053,0.166666667,0.316666667,0.683333333,0.816666667
Pan2,0.231578947,0.333333333,0.466666667,0.583333333,0.8
Pan2,0.176315789,0.533333333,0.433333333,0.783333333,0.716666667
Pan2,0.292105263,0.133333333,0.25,0.483333333,0.583333333
Pan2,-0.031578947,0.266666667,0.35,0.85,0.816666667
Pan2,0.076315789,0.266666667,0.433333333,0.666666667,0.75
Pan2,0.128947368,0.833333333,0.283333333,0.633333333,0.666666667
Pan2,0.092105263,0.133333333,0.366666667,0.566666667,0.683333333
Pan2,-0.134210526,0.466666667,0.45,0.716666667,0.616666667
Pan2,0.173684211,0.266666667,0.216666667,0.766666667,0.6
Pan2,0.178947368,0.466666667,0.333333333,0.616666667,0.866666667
Pan2,0.078947368,0.6,0.483333333,0.733333333,0.783333333
Pan2,0.007894737,0.466666667,0.25,0.616666667,0.45
Pan2,0.378947368,0.4,0.35,0.783333333,0.8
Pan2,0.165789474,0.133333333,0.283333333,0.533333333,0.783333333
Pan2,0.339473684,0.366666667,0.45,0.566666667,0.666666667
Pan2,0.271052632,0.466666667,0.25,0.616666667,0.6
Pan2,-0.142105263,0.433333333,0.266666667,0.45,0.75
Pan2,0.131578947,0.433333333,0.383333333,0.833333333,0.783333333
Pan2,-0.031578947,0.4,0.233333333,0.85,0.916666667
Pan2,-0.015789474,0.1,0.3,0.5,0.683333333
Pan2,0.234210526,0.766666667,0.65,0.783333333,0.716666667
Pan2,0.057894737,0.733333333,0.333333333,0.65,0.916666667
Pan2,0.176315789,0.633333333,0.383333333,0.566666667,0.716666667
Pan2,0.378947368,0.366666667,0.3,0.6,0.883333333
Pan2,0.689473684,0.6,0.55,0.65,0.9
Pan2,-0.018421053,0.3,0.3,0.933333333,0.7
Pan2,0.386842105,0.366666667,0.35,0.6,0.766666667
Pan2,0.071052632,0.3,0.333333333,0.7,0.783333333
Pan2,0.197368421,0.4,0.516666667,0.733333333,0.933333333
Pan2,0.239473684,0.6,0.566666667,0.783333333,0.866666667
Pan2,0.344736842,0.433333333,0.35,0.7,0.8
Pan2,-0.178947368,0.366666667,0.466666667,0.566666667,0.7
Pan2,0.026315789,0.2,0.366666667,0.666666667,0.8
Pan2,0.384210526,0.266666667,0.35,0.766666667,0.516666667
Pan2,0.386842105,0.3,0.383333333,0.6,0.566666667
